t 1 2 jV0100 
3.71e-05 5 4.54393 -0.456066
3.72e-05 5 4.54393 -0.456066
3.73e-05 5 4.54393 -0.456066
3.74e-05 5 4.54393 -0.456066
3.75e-05 5 4.54393 -0.456066
3.76e-05 5 4.54393 -0.456066
3.77e-05 5 4.54393 -0.456066
3.78e-05 5 4.54393 -0.456066
3.79e-05 5 4.54393 -0.456066
3.8e-05 5 4.54393 -0.456066
3.81e-05 5 4.54393 -0.456066
3.82e-05 5 4.54393 -0.456066
3.83e-05 5 4.54393 -0.456066
3.84e-05 5 4.54393 -0.456066
3.85e-05 5 4.54393 -0.456066
3.86e-05 5 4.54393 -0.456066
3.87e-05 5 4.54393 -0.456066
3.88e-05 5 4.54393 -0.456066
3.89e-05 5 4.54393 -0.456066
3.9e-05 5 4.54393 -0.456066
3.91e-05 5 4.54393 -0.456066
3.92e-05 5 4.54393 -0.456066
3.93e-05 5 4.54393 -0.456066
3.94e-05 5 4.54393 -0.456066
3.95e-05 5 4.54393 -0.456066
3.96e-05 5 4.54393 -0.456066
3.97e-05 5 4.54393 -0.456066
3.98e-05 5 4.54393 -0.456066
3.99e-05 5 4.54393 -0.456066
4e-05 5 4.54393 -0.456066
4.01e-05 5 4.54393 -0.456066
4.02e-05 5 4.54393 -0.456066
4.03e-05 5 4.54393 -0.456066
4.04e-05 5 4.54393 -0.456066
4.05e-05 5 4.54393 -0.456066
4.06e-05 5 4.54393 -0.456066
4.07e-05 5 4.54393 -0.456066
4.08e-05 5 4.54393 -0.456066
4.09e-05 5 4.54393 -0.456066
4.1e-05 5 4.54393 -0.456066
4.11e-05 5 4.54393 -0.456066
4.12e-05 5 4.54393 -0.456066
4.13e-05 5 4.54393 -0.456066
4.14e-05 5 4.54393 -0.456066
4.15e-05 5 4.54393 -0.456066
4.16e-05 5 4.54393 -0.456066
4.17e-05 5 4.54393 -0.456066
4.18e-05 5 4.54393 -0.456066
4.19e-05 5 4.54393 -0.456066
4.2e-05 5 4.54393 -0.456066
4.21e-05 5 4.54393 -0.456066
4.22e-05 5 4.54393 -0.456066
4.23e-05 5 4.54393 -0.456066
4.24e-05 5 4.54393 -0.456066
4.25e-05 5 4.54393 -0.456066
4.26e-05 5 4.54393 -0.456066
4.27e-05 5 4.54393 -0.456066
4.28e-05 5 4.54393 -0.456066
4.29e-05 5 4.54393 -0.456066
4.3e-05 5 4.54393 -0.456066
4.31e-05 5 4.54393 -0.456066
4.32e-05 5 4.54393 -0.456066
4.33e-05 5 4.54393 -0.456066
4.34e-05 5 4.54393 -0.456066
4.35e-05 5 4.54393 -0.456066
4.36e-05 5 4.54393 -0.456066
4.37e-05 5 4.54393 -0.456066
