f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f jL0102m jL0102f jV1400m jV1400f jV1600m jV1600f jV0300m jV0300f jV1100m jV1100f 
2.78256 0.5 -0.318859 0.5 1.23438e-06 1 0 0.452046 179.729 0.464369 -179.978 0.506292 -0.157386 0.5 179.681 0.500002 -0.15943 0.5 -180 0.5 -0.318859 1 -0 0.500002 179.841 0.403612 -0.271264 1 -0 0.452047 179.843 0 0 0.000300001 179.841 2.23497e-13 -89.9989 8.02922e-08 -90.9689 0.0003 180 0 0 
2.84804 0.5 -0.326362 0.5 1.32359e-06 1 0 0.452046 179.722 0.464369 -179.978 0.506292 -0.16109 0.5 179.674 0.500002 -0.163181 0.5 -180 0.5 -0.326362 1 -0 0.500002 179.837 0.403612 -0.277647 1 -0 0.452047 179.839 0 0 0.000300001 179.837 2.28756e-13 -89.9989 8.21817e-08 -90.9693 0.0003 180 0 0 
2.91505 0.5 -0.334041 0.5 1.41924e-06 1 0 0.452046 179.716 0.464369 -179.977 0.506292 -0.164881 0.5 179.666 0.500002 -0.167021 0.5 -180 0.5 -0.334041 1 -0 0.500002 179.833 0.403612 -0.284181 1 -0 0.452047 179.835 0 0 0.000300001 179.833 2.34139e-13 -89.9988 8.41156e-08 -90.9702 0.0003 180 0 0 
2.98365 0.5 -0.341902 0.5 1.5218e-06 1 0 0.452046 179.709 0.464369 -179.977 0.506292 -0.16876 0.5 179.658 0.500002 -0.170952 0.5 -180 0.5 -0.341902 1 -0 0.500002 179.829 0.403612 -0.290868 1 -0 0.452047 179.831 0 0 0.000300001 179.829 2.39649e-13 -89.9988 8.6095e-08 -90.9716 0.0003 180 0 0 
3.05386 0.5 -0.349947 0.5 1.63178e-06 1 0 0.452046 179.702 0.464369 -179.976 0.506293 -0.172731 0.5 179.65 0.500002 -0.174974 0.5 -180 0.5 -0.349947 1 -0 0.500002 179.825 0.403612 -0.297712 1 -0 0.452047 179.827 0 0 0.000300001 179.825 2.45288e-13 -89.9988 8.8121e-08 -90.9736 0.0003 180 0 0 
3.12572 0.5 -0.358182 0.5 1.7497e-06 1 0 0.452046 179.695 0.464369 -179.976 0.506293 -0.176796 0.5 179.642 0.500002 -0.179092 0.5 -180 0.5 -0.358182 1 -0 0.500002 179.821 0.403612 -0.304718 1 -0 0.452047 179.823 0 0 0.000300001 179.821 2.5106e-13 -89.9988 9.01948e-08 -90.976 0.0003 180 0 0 
3.19927 0.5 -0.36661 0.5 1.87614e-06 1 0 0.452046 179.688 0.464369 -179.975 0.506293 -0.180956 0.5 179.633 0.500003 -0.183306 0.5 -180 0.5 -0.36661 1 -0 0.500003 179.817 0.403612 -0.311888 1 -0 0.452047 179.819 0 0 0.000300002 179.817 2.56968e-13 -89.9987 9.23173e-08 -90.979 0.0003 180 0 0 
3.27455 0.5 -0.375237 0.5 2.01173e-06 1 0 0.452046 179.681 0.464369 -179.974 0.506293 -0.185214 0.5 179.625 0.500003 -0.187619 0.5 -180 0.5 -0.375237 1 -0 0.500003 179.812 0.403612 -0.319227 1 -0 0.452047 179.815 0 0 0.000300002 179.812 2.63014e-13 -89.9987 9.44899e-08 -90.9826 0.0003 180 0 0 
3.3516 0.5 -0.384066 0.5 2.15711e-06 1 0 0.452046 179.673 0.46437 -179.974 0.506293 -0.189573 0.5 179.616 0.500003 -0.192034 0.5 -180 0.5 -0.384066 1 -0 0.500003 179.808 0.403612 -0.326739 1 -0 0.452047 179.81 0 0 0.000300002 179.808 2.69203e-13 -89.9987 9.67135e-08 -90.9867 0.0003 180 0 0 
3.43047 0.5 -0.393104 0.5 2.31299e-06 1 0 0.452046 179.666 0.46437 -179.973 0.506293 -0.194034 0.5 179.607 0.500003 -0.196553 0.5 -180 0.5 -0.393104 1 -0 0.500003 179.803 0.403612 -0.334427 1 -0 0.452047 179.806 0 0 0.000300002 179.803 2.75538e-13 -89.9986 9.89895e-08 -90.9913 0.0003 180 0 0 
3.51119 0.5 -0.402354 0.5 2.48014e-06 1 0 0.452046 179.658 0.46437 -179.973 0.506293 -0.198599 0.5 179.598 0.500003 -0.201178 0.5 -180 0.5 -0.402354 1 -0 0.500003 179.799 0.403612 -0.342297 1 -0 0.452047 179.801 0 0 0.000300002 179.799 2.82022e-13 -89.9986 1.01319e-07 -90.9964 0.0003 180 0 0 
3.59381 0.5 -0.411822 0.5 2.65937e-06 1 0 0.452046 179.65 0.46437 -179.972 0.506293 -0.203273 0.5 179.588 0.500003 -0.205912 0.5 -180 0.5 -0.411822 1 -0 0.500003 179.794 0.403612 -0.350351 1 -0 0.452047 179.797 0 0 0.000300002 179.794 2.88658e-13 -89.9986 1.03704e-07 -91.0021 0.0003 180 0 0 
3.67838 0.5 -0.421513 0.5 2.85155e-06 1 0 0.452046 179.641 0.46437 -179.971 0.506293 -0.208056 0.5 179.578 0.500003 -0.210758 0.5 -180 0.5 -0.421513 1 -0 0.500003 179.789 0.403612 -0.358596 1 -0 0.452047 179.792 0 0 0.000300002 179.789 2.9545e-13 -89.9985 1.06144e-07 -91.0083 0.0003 180 0 0 
3.76494 0.5 -0.431431 0.5 3.05762e-06 1 0 0.452046 179.633 0.46437 -179.971 0.506293 -0.212952 0.5 179.569 0.500004 -0.215717 0.5 -180 0.5 -0.431431 1 -0 0.500004 179.784 0.403612 -0.367034 1 -0 0.452047 179.787 0 0 0.000300002 179.784 3.02403e-13 -89.9985 1.08642e-07 -91.0151 0.0003 180 0 0 
3.85353 0.5 -0.441583 0.5 3.27859e-06 1 0 0.452046 179.624 0.46437 -179.97 0.506293 -0.217963 0.5 179.558 0.500004 -0.220793 0.5 -180 0.5 -0.441583 1 -0 0.500004 179.779 0.403612 -0.37567 1 -0 0.452047 179.782 0 0 0.000300002 179.779 3.09518e-13 -89.9985 1.11199e-07 -91.0224 0.0003 180 0 0 
