f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f jL0200m jL0200f jL0110m jL0110f jL0800m jL0800f jV0300m jV0300f jV1000m jV1000f jV0700m jV0700f jV1100m jV1100f jV0900m jV0900f 
5040 9.94905 -5.78633 9.53584 17.5253 10 -0 9.9775 3.84381 4.96154 10.9535 5.57692 -56.1036 10 -0 4.97273 7.10973 10 -0 10 -0 10 -0 0.000301126 -72.4747 0.000994905 174.214 0.000157031 -82.8903 0.000301126 107.525 0.000994905 174.214 0.00830048 -146.104 0.00099775 -176.156 0.000510276 173.072
5050 9.94885 -5.79773 9.53755 17.4927 10 -0 9.97759 3.83622 4.96169 10.9319 5.56931 -56.1562 10 -0 4.97284 7.0957 10 -0 10 -0 10 -0 0.000300584 -72.5073 0.000994885 174.202 0.000156723 -82.9043 0.000300584 107.493 0.000994885 174.202 0.00830559 -146.156 0.000997759 -176.164 0.000510236 173.085
5060 9.94865 -5.80913 9.53926 17.4602 10 -0 9.97768 3.82866 4.96184 10.9104 5.56171 -56.2086 10 -0 4.97294 7.08172 10 -0 10 -0 10 -0 0.000300043 -72.5398 0.000994865 174.191 0.000156417 -82.9183 0.000300043 107.46 0.000994865 174.191 0.00831068 -146.209 0.000997768 -176.171 0.000510196 173.098
5070 9.94844 -5.82053 9.54095 17.4279 10 -0 9.97777 3.82114 4.96199 10.8889 5.55413 -56.2609 10 -0 4.97305 7.0678 10 -0 10 -0 10 -0 0.000299505 -72.5721 0.000994844 174.179 0.000156112 -82.9322 0.000299505 107.428 0.000994844 174.179 0.00831575 -146.261 0.000997777 -176.179 0.000510157 173.111
5080 9.94824 -5.83194 9.54263 17.3956 10 -0 9.97786 3.81364 4.96214 10.8676 5.54656 -56.313 10 -0 4.97315 7.05394 10 -0 10 -0 10 -0 0.000298968 -72.6044 0.000994824 174.168 0.000155808 -82.9461 0.000298968 107.396 0.000994824 174.168 0.0083208 -146.313 0.000997786 -176.186 0.000510118 173.124
5090 9.94804 -5.84334 9.54431 17.3635 10 -0 9.97794 3.80617 4.96229 10.8463 5.53901 -56.365 10 -0 4.97326 7.04012 10 -0 10 -0 10 -0 0.000298433 -72.6365 0.000994804 174.157 0.000155505 -82.9599 0.000298433 107.364 0.000994804 174.157 0.00832583 -146.365 0.000997794 -176.194 0.000510079 173.137
5100 9.94784 -5.85474 9.54597 17.3315 10 -0 9.97803 3.79872 4.96244 10.8251 5.53147 -56.4168 10 -0 4.97336 7.02637 10 -0 10 -0 10 -0 0.0002979 -72.6685 0.000994784 174.145 0.000155203 -82.9736 0.0002979 107.331 0.000994784 174.145 0.00833084 -146.417 0.000997803 -176.201 0.00051004 173.149
5110 9.94763 -5.86614 9.54763 17.2996 10 -0 9.97812 3.79131 4.96258 10.804 5.52395 -56.4685 10 -0 4.97347 7.01266 10 -0 10 -0 10 -0 0.000297368 -72.7004 0.000994763 174.134 0.000154903 -82.9873 0.000297368 107.3 0.000994763 174.134 0.00833582 -146.469 0.000997812 -176.209 0.000510001 173.162
5120 9.94743 -5.87754 9.54928 17.2678 10 -0 9.9782 3.78393 4.96273 10.7829 5.51645 -56.5201 10 -0 4.97357 6.99901 10 -0 10 -0 10 -0 0.000296839 -72.7322 0.000994743 174.122 0.000154603 -83.001 0.000296839 107.268 0.000994743 174.122 0.00834079 -146.52 0.00099782 -176.216 0.000509963 173.175
5130 9.94723 -5.88894 9.55092 17.2362 10 -0 9.97828 3.77657 4.96287 10.762 5.50896 -56.5715 10 -0 4.97367 6.98541 10 -0 10 -0 10 -0 0.000296311 -72.7638 0.000994723 174.111 0.000154305 -83.0146 0.000296311 107.236 0.000994723 174.111 0.00834574 -146.571 0.000997828 -176.223 0.000509925 173.187
5140 9.94702 -5.90033 9.55255 17.2046 10 -0 9.97837 3.76925 4.96302 10.7411 5.50149 -56.6228 10 -0 4.97378 6.97187 10 -0 10 -0 10 -0 0.000295785 -72.7954 0.000994702 174.1 0.000154008 -83.0281 0.000295785 107.205 0.000994702 174.1 0.00835067 -146.623 0.000997837 -176.231 0.000509887 173.2
5150 9.94682 -5.91173 9.55417 17.1732 10 -0 9.97845 3.76195 4.96316 10.7203 5.49403 -56.6739 10 -0 4.97388 6.95837 10 -0 10 -0 10 -0 0.000295261 -72.8268 0.000994682 174.088 0.000153712 -83.0416 0.000295261 107.173 0.000994682 174.088 0.00835557 -146.674 0.000997845 -176.238 0.000509849 173.213
5160 9.94661 -5.92313 9.55578 17.1418 10 -0 9.97854 3.75468 4.9633 10.6996 5.48659 -56.7249 10 -0 4.97398 6.94493 10 -0 10 -0 10 -0 0.000294738 -72.8582 0.000994661 174.077 0.000153417 -83.0551 0.000294738 107.142 0.000994661 174.077 0.00836046 -146.725 0.000997854 -176.245 0.000509812 173.225
5170 9.94641 -5.93453 9.55738 17.1106 10 -0 9.97862 3.74744 4.96344 10.679 5.47917 -56.7758 10 -0 4.97408 6.93154 10 -0 10 -0 10 -0 0.000294218 -72.8894 0.000994641 174.065 0.000153124 -83.0685 0.000294218 107.111 0.000994641 174.065 0.00836533 -146.776 0.000997862 -176.253 0.000509774 173.237
5180 9.9462 -5.94592 9.55898 17.0795 10 -0 9.9787 3.74022 4.96358 10.6584 5.47176 -56.8265 10 -0 4.97418 6.9182 10 -0 10 -0 10 -0 0.000293699 -72.9205 0.00099462 174.054 0.000152831 -83.0818 0.000293699 107.08 0.00099462 174.054 0.00837018 -146.827 0.00099787 -176.26 0.000509737 173.25
5190 9.94599 -5.95732 9.56057 17.0485 10 -0 9.97878 3.73304 4.96372 10.638 5.46437 -56.8771 10 -0 4.97428 6.90492 10 -0 10 -0 10 -0 0.000293181 -72.9515 0.000994599 174.043 0.00015254 -83.0951 0.000293181 107.049 0.000994599 174.043 0.008375 -146.877 0.000997878 -176.267 0.0005097 173.262
5200 9.94579 -5.96871 9.56215 17.0176 10 -0 9.97886 3.72588 4.96386 10.6176 5.45699 -56.9276 10 -0 4.97438 6.89168 10 -0 10 -0 10 -0 0.000292666 -72.9824 0.000994579 174.031 0.000152249 -83.1083 0.000292666 107.018 0.000994579 174.031 0.00837981 -146.928 0.000997886 -176.274 0.000509664 173.274
5210 9.94558 -5.98011 9.56372 16.9869 10 -0 9.97894 3.71875 4.964 10.5972 5.44963 -56.9779 10 -0 4.97447 6.87849 10 -0 10 -0 10 -0 0.000292152 -73.0131 0.000994558 174.02 0.00015196 -83.1215 0.000292152 106.987 0.000994558 174.02 0.0083846 -146.978 0.000997894 -176.281 0.000509627 173.287
5220 9.94537 -5.9915 9.56528 16.9562 10 -0 9.97902 3.71164 4.96414 10.577 5.44228 -57.0281 10 -0 4.97457 6.86536 10 -0 10 -0 10 -0 0.00029164 -73.0438 0.000994537 174.008 0.000151672 -83.1346 0.00029164 106.956 0.000994537 174.008 0.00838937 -147.028 0.000997902 -176.288 0.000509591 173.299
5230 9.94517 -6.0029 9.56684 16.9256 10 -0 9.9791 3.70457 4.96427 10.5568 5.43495 -57.0781 10 -0 4.97467 6.85227 10 -0 10 -0 10 -0 0.00029113 -73.0744 0.000994517 173.997 0.000151385 -83.1477 0.00029113 106.926 0.000994517 173.997 0.00839412 -147.078 0.00099791 -176.295 0.000509555 173.311
5240 9.94496 -6.01429 9.56838 16.8952 10 -0 9.97918 3.69752 4.96441 10.5368 5.42764 -57.128 10 -0 4.97477 6.83924 10 -0 10 -0 10 -0 0.000290621 -73.1048 0.000994496 173.986 0.000151099 -83.1608 0.000290621 106.895 0.000994496 173.986 0.00839885 -147.128 0.000997918 -176.302 0.000509519 173.323
5250 9.94475 -6.02569 9.56992 16.8648 10 -0 9.97926 3.69049 4.96455 10.5167 5.42034 -57.1778 10 -0 4.97486 6.82625 10 -0 10 -0 10 -0 0.000290114 -73.1352 0.000994475 173.974 0.000150814 -83.1737 0.000290114 106.865 0.000994475 173.974 0.00840357 -147.178 0.000997926 -176.31 0.000509483 173.335
5260 9.94454 -6.03708 9.57145 16.8346 10 -0 9.97934 3.6835 4.96468 10.4968 5.41306 -57.2274 10 -0 4.97496 6.81331 10 -0 10 -0 10 -0 0.000289609 -73.1654 0.000994454 173.963 0.00015053 -83.1867 0.000289609 106.835 0.000994454 173.963 0.00840826 -147.227 0.000997934 -176.317 0.000509448 173.347
5270 9.94433 -6.04847 9.57297 16.8044 10 -0 9.97942 3.67653 4.96481 10.477 5.40579 -57.2769 10 -0 4.97505 6.80043 10 -0 10 -0 10 -0 0.000289105 -73.1956 0.000994433 173.952 0.000150247 -83.1996 0.000289105 106.804 0.000994433 173.952 0.00841293 -147.277 0.000997942 -176.323 0.000509413 173.359
5280 9.94412 -6.05986 9.57449 16.7744 10 -0 9.9795 3.66958 4.96495 10.4572 5.39854 -57.3263 10 -0 4.97515 6.78759 10 -0 10 -0 10 -0 0.000288604 -73.2256 0.000994412 173.94 0.000149966 -83.2124 0.000288604 106.774 0.000994412 173.94 0.00841759 -147.326 0.00099795 -176.33 0.000509378 173.371
5290 9.94391 -6.07125 9.57599 16.7444 10 -0 9.97957 3.66266 4.96508 10.4375 5.3913 -57.3756 10 -0 4.97524 6.77479 10 -0 10 -0 10 -0 0.000288103 -73.2556 0.000994391 173.929 0.000149685 -83.2252 0.000288103 106.744 0.000994391 173.929 0.00842223 -147.376 0.000997957 -176.337 0.000509343 173.383
5300 9.9437 -6.08265 9.57749 16.7146 10 -0 9.97965 3.65577 4.96521 10.4178 5.38408 -57.4247 10 -0 4.97533 6.76205 10 -0 10 -0 10 -0 0.000287605 -73.2854 0.00099437 173.917 0.000149405 -83.2379 0.000287605 106.715 0.00099437 173.917 0.00842684 -147.425 0.000997965 -176.344 0.000509308 173.395
5310 9.94349 -6.09404 9.57898 16.6849 10 -0 9.97973 3.64891 4.96534 10.3983 5.37687 -57.4737 10 -0 4.97543 6.74936 10 -0 10 -0 10 -0 0.000287108 -73.3151 0.000994349 173.906 0.000149127 -83.2506 0.000287108 106.685 0.000994349 173.906 0.00843144 -147.474 0.000997973 -176.351 0.000509274 173.407
5320 9.94328 -6.10543 9.58047 16.6553 10 -0 9.9798 3.64207 4.96547 10.3788 5.36968 -57.5225 10 -0 4.97552 6.73671 10 -0 10 -0 10 -0 0.000286613 -73.3447 0.000994328 173.895 0.000148849 -83.2633 0.000286613 106.655 0.000994328 173.895 0.00843603 -147.523 0.00099798 -176.358 0.000509239 173.419
5330 9.94307 -6.11681 9.58194 16.6257 10 -0 9.97988 3.63525 4.9656 10.3594 5.36251 -57.5712 10 -0 4.97561 6.72411 10 -0 10 -0 10 -0 0.000286119 -73.3743 0.000994307 173.883 0.000148573 -83.2759 0.000286119 106.626 0.000994307 173.883 0.00844059 -147.571 0.000997988 -176.365 0.000509205 173.43
5340 9.94286 -6.1282 9.58341 16.5963 10 -0 9.97995 3.62846 4.96573 10.34 5.35535 -57.6198 10 -0 4.9757 6.71155 10 -0 10 -0 10 -0 0.000285627 -73.4037 0.000994286 173.872 0.000148297 -83.2884 0.000285627 106.596 0.000994286 173.872 0.00844513 -147.62 0.000997995 -176.372 0.000509171 173.442
5350 9.94264 -6.13959 9.58487 16.567 10 -0 9.98003 3.6217 4.96585 10.3207 5.3482 -57.6683 10 -0 4.97579 6.69905 10 -0 10 -0 10 -0 0.000285136 -73.433 0.000994264 173.86 0.000148023 -83.301 0.000285136 106.567 0.000994264 173.86 0.00844966 -147.668 0.000998003 -176.378 0.000509138 173.454
5360 9.94243 -6.15098 9.58632 16.5378 10 -0 9.9801 3.61496 4.96598 10.3015 5.34107 -57.7166 10 -0 4.97588 6.68659 10 -0 10 -0 10 -0 0.000284648 -73.4622 0.000994243 173.849 0.000147749 -83.3134 0.000284648 106.538 0.000994243 173.849 0.00845417 -147.717 0.00099801 -176.385 0.000509104 173.465
5370 9.94222 -6.16237 9.58777 16.5087 10 -0 9.98018 3.60824 4.96611 10.2824 5.33396 -57.7648 10 -0 4.97597 6.67417 10 -0 10 -0 10 -0 0.00028416 -73.4913 0.000994222 173.838 0.000147477 -83.3258 0.00028416 106.509 0.000994222 173.838 0.00845866 -147.765 0.000998018 -176.392 0.000509071 173.477
5380 9.942 -6.17375 9.58921 16.4796 10 -0 9.98025 3.60156 4.96623 10.2634 5.32686 -57.8129 10 -0 4.97606 6.6618 10 -0 10 -0 10 -0 0.000283675 -73.5204 0.0009942 173.826 0.000147205 -83.3382 0.000283675 106.48 0.0009942 173.826 0.00846313 -147.813 0.000998025 -176.398 0.000509038 173.488
5390 9.94179 -6.18514 9.59064 16.4507 10 -0 9.98032 3.59489 4.96636 10.2444 5.31977 -57.8608 10 -0 4.97615 6.64948 10 -0 10 -0 10 -0 0.000283191 -73.5493 0.000994179 173.815 0.000146935 -83.3505 0.000283191 106.451 0.000994179 173.815 0.00846759 -147.861 0.000998032 -176.405 0.000509005 173.5
5400 9.94158 -6.19653 9.59206 16.4219 10 -0 9.9804 3.58825 4.96648 10.2255 5.3127 -57.9087 10 -0 4.97624 6.6372 10 -0 10 -0 10 -0 0.000282708 -73.5781 0.000994158 173.803 0.000146665 -83.3628 0.000282708 106.422 0.000994158 173.803 0.00847202 -147.909 0.00099804 -176.412 0.000508972 173.511
5410 9.94136 -6.20791 9.59348 16.3932 10 -0 9.98047 3.58164 4.9666 10.2066 5.30565 -57.9564 10 -0 4.97632 6.62497 10 -0 10 -0 10 -0 0.000282227 -73.6068 0.000994136 173.792 0.000146397 -83.375 0.000282227 106.393 0.000994136 173.792 0.00847644 -147.956 0.000998047 -176.418 0.000508939 173.523
5420 9.94115 -6.2193 9.59488 16.3645 10 -0 9.98054 3.57504 4.96673 10.1878 5.29861 -58.0039 10 -0 4.97641 6.61278 10 -0 10 -0 10 -0 0.000281748 -73.6355 0.000994115 173.781 0.000146129 -83.3872 0.000281748 106.365 0.000994115 173.781 0.00848084 -148.004 0.000998054 -176.425 0.000508907 173.534
5430 9.94093 -6.23068 9.59629 16.336 10 -0 9.98061 3.56848 4.96685 10.1691 5.29159 -58.0514 10 -0 4.9765 6.60064 10 -0 10 -0 10 -0 0.00028127 -73.664 0.000994093 173.769 0.000145863 -83.3994 0.00028127 106.336 0.000994093 173.769 0.00848523 -148.051 0.000998061 -176.432 0.000508874 173.546
5440 9.94071 -6.24207 9.59768 16.3076 10 -0 9.98068 3.56194 4.96697 10.1505 5.28458 -58.0987 10 -0 4.97658 6.58854 10 -0 10 -0 10 -0 0.000280794 -73.6924 0.000994071 173.758 0.000145597 -83.4115 0.000280794 106.308 0.000994071 173.758 0.0084896 -148.099 0.000998068 -176.438 0.000508842 173.557
5450 9.9405 -6.25345 9.59907 16.2793 10 -0 9.98075 3.55542 4.96709 10.1319 5.27758 -58.1459 10 -0 4.97667 6.57649 10 -0 10 -0 10 -0 0.000280319 -73.7207 0.00099405 173.747 0.000145332 -83.4235 0.000280319 106.279 0.00099405 173.747 0.00849394 -148.146 0.000998075 -176.445 0.00050881 173.568
5460 9.94028 -6.26483 9.60045 16.251 10 -0 9.98082 3.54892 4.96721 10.1134 5.27061 -58.1929 10 -0 4.97675 6.56448 10 -0 10 -0 10 -0 0.000279846 -73.749 0.000994028 173.735 0.000145069 -83.4355 0.000279846 106.251 0.000994028 173.735 0.00849828 -148.193 0.000998082 -176.451 0.000508779 173.579
5470 9.94006 -6.27622 9.60182 16.2229 10 -0 9.98089 3.54245 4.96733 10.095 5.26364 -58.2399 10 -0 4.97684 6.55251 10 -0 10 -0 10 -0 0.000279374 -73.7771 0.000994006 173.724 0.000144806 -83.4475 0.000279374 106.223 0.000994006 173.724 0.00850259 -148.24 0.000998089 -176.458 0.000508747 173.591
5480 9.93985 -6.2876 9.60319 16.1948 10 -0 9.98096 3.536 4.96745 10.0766 5.25669 -58.2867 10 -0 4.97692 6.54059 10 -0 10 -0 10 -0 0.000278904 -73.8052 0.000993985 173.712 0.000144544 -83.4594 0.000278904 106.195 0.000993985 173.712 0.00850689 -148.287 0.000998096 -176.464 0.000508716 173.602
5490 9.93963 -6.29898 9.60455 16.1669 10 -0 9.98103 3.52958 4.96757 10.0583 5.24976 -58.3334 10 -0 4.97701 6.52871 10 -0 10 -0 10 -0 0.000278436 -73.8331 0.000993963 173.701 0.000144283 -83.4713 0.000278436 106.167 0.000993963 173.701 0.00851117 -148.333 0.000998103 -176.47 0.000508684 173.613
5500 9.93941 -6.31036 9.6059 16.139 10 -0 9.9811 3.52318 4.96768 10.04 5.24284 -58.38 10 -0 4.97709 6.51687 10 -0 10 -0 10 -0 0.000277969 -73.861 0.000993941 173.69 0.000144023 -83.4831 0.000277969 106.139 0.000993941 173.69 0.00851544 -148.38 0.00099811 -176.477 0.000508653 173.624
5510 9.93919 -6.32174 9.60725 16.1112 10 -0 9.98117 3.5168 4.9678 10.0219 5.23593 -58.4264 10 -0 4.97717 6.50508 10 -0 10 -0 10 -0 0.000277503 -73.8888 0.000993919 173.678 0.000143764 -83.4949 0.000277503 106.111 0.000993919 173.678 0.00851968 -148.426 0.000998117 -176.483 0.000508622 173.635
5520 9.93897 -6.33312 9.60859 16.0836 10 -0 9.98124 3.51044 4.96792 10.0038 5.22904 -58.4727 10 -0 4.97726 6.49333 10 -0 10 -0 10 -0 0.000277039 -73.9164 0.000993897 173.667 0.000143506 -83.5067 0.000277039 106.084 0.000993897 173.667 0.00852391 -148.473 0.000998124 -176.49 0.000508592 173.646
5530 9.93875 -6.3445 9.60992 16.056 10 -0 9.9813 3.50411 4.96803 9.98573 5.22217 -58.5189 10 -0 4.97734 6.48162 10 -0 10 -0 10 -0 0.000276576 -73.944 0.000993875 173.655 0.000143249 -83.5184 0.000276576 106.056 0.000993875 173.655 0.00852813 -148.519 0.00099813 -176.496 0.000508561 173.657
5540 9.93853 -6.35588 9.61125 16.0285 10 -0 9.98137 3.4978 4.96815 9.96775 5.21531 -58.565 10 -0 4.97742 6.46995 10 -0 10 -0 10 -0 0.000276115 -73.9715 0.000993853 173.644 0.000142993 -83.53 0.000276115 106.028 0.000993853 173.644 0.00853233 -148.565 0.000998137 -176.502 0.000508531 173.668
5550 9.93831 -6.36726 9.61257 16.0011 10 -0 9.98144 3.49151 4.96826 9.94984 5.20846 -58.611 10 -0 4.9775 6.45833 10 -0 10 -0 10 -0 0.000275655 -73.9989 0.000993831 173.633 0.000142738 -83.5417 0.000275655 106.001 0.000993831 173.633 0.00853651 -148.611 0.000998144 -176.508 0.0005085 173.679
5560 9.93809 -6.37864 9.61388 15.9738 10 -0 9.9815 3.48525 4.96837 9.932 5.20163 -58.6568 10 -0 4.97758 6.44674 10 -0 10 -0 10 -0 0.000275197 -74.0262 0.000993809 173.621 0.000142483 -83.5533 0.000275197 105.974 0.000993809 173.621 0.00854067 -148.657 0.00099815 -176.515 0.00050847 173.69
5570 9.93787 -6.39001 9.61518 15.9465 10 -0 9.98157 3.47901 4.96849 9.91421 5.19481 -58.7025 10 -0 4.97766 6.4352 10 -0 10 -0 10 -0 0.00027474 -74.0535 0.000993787 173.61 0.00014223 -83.5648 0.00027474 105.947 0.000993787 173.61 0.00854482 -148.703 0.000998157 -176.521 0.00050844 173.7
5580 9.93765 -6.40139 9.61648 15.9194 10 -0 9.98164 3.47279 4.9686 9.89649 5.18801 -58.7481 10 -0 4.97774 6.4237 10 -0 10 -0 10 -0 0.000274285 -74.0806 0.000993765 173.599 0.000141977 -83.5763 0.000274285 105.919 0.000993765 173.599 0.00854895 -148.748 0.000998164 -176.527 0.00050841 173.711
5590 9.93743 -6.41277 9.61778 15.8924 10 -0 9.9817 3.46659 4.96871 9.87883 5.18122 -58.7936 10 -0 4.97782 6.41224 10 -0 10 -0 10 -0 0.000273831 -74.1076 0.000993743 173.587 0.000141725 -83.5878 0.000273831 105.892 0.000993743 173.587 0.00855307 -148.794 0.00099817 -176.533 0.000508381 173.722
5600 9.93721 -6.42414 9.61906 15.8654 10 -0 9.98177 3.46042 4.96882 9.86124 5.17445 -58.839 10 -0 4.9779 6.40082 10 -0 10 -0 10 -0 0.000273379 -74.1346 0.000993721 173.576 0.000141475 -83.5992 0.000273379 105.865 0.000993721 173.576 0.00855716 -148.839 0.000998177 -176.54 0.000508351 173.733
5610 9.93699 -6.43552 9.62034 15.8386 10 -0 9.98183 3.45426 4.96893 9.84371 5.16769 -58.8842 10 -0 4.97798 6.38945 10 -0 10 -0 10 -0 0.000272928 -74.1614 0.000993699 173.564 0.000141225 -83.6106 0.000272928 105.839 0.000993699 173.564 0.00856125 -148.884 0.000998183 -176.546 0.000508322 173.743
5620 9.93676 -6.44689 9.62162 15.8118 10 -0 9.9819 3.44813 4.96904 9.82624 5.16095 -58.9294 10 -0 4.97806 6.37811 10 -0 10 -0 10 -0 0.000272478 -74.1882 0.000993676 173.553 0.000140975 -83.6219 0.000272478 105.812 0.000993676 173.553 0.00856532 -148.929 0.00099819 -176.552 0.000508293 173.754
5630 9.93654 -6.45827 9.62289 15.7851 10 -0 9.98196 3.44202 4.96915 9.80883 5.15422 -58.9744 10 -0 4.97813 6.36681 10 -0 10 -0 10 -0 0.00027203 -74.2149 0.000993654 173.542 0.000140727 -83.6332 0.00027203 105.785 0.000993654 173.542 0.00856937 -148.974 0.000998196 -176.558 0.000508264 173.765
5640 9.93632 -6.46964 9.62415 15.7585 10 -0 9.98202 3.43593 4.96926 9.79148 5.1475 -59.0192 10 -0 4.97821 6.35555 10 -0 10 -0 10 -0 0.000271583 -74.2415 0.000993632 173.53 0.00014048 -83.6444 0.000271583 105.759 0.000993632 173.53 0.0085734 -149.019 0.000998202 -176.564 0.000508235 173.775
5650 9.93609 -6.48102 9.6254 15.732 10 -0 9.98209 3.42987 4.96937 9.7742 5.1408 -59.064 10 -0 4.97829 6.34433 10 -0 10 -0 10 -0 0.000271138 -74.268 0.000993609 173.519 0.000140233 -83.6557 0.000271138 105.732 0.000993609 173.519 0.00857742 -149.064 0.000998209 -176.57 0.000508206 173.786
5660 9.93587 -6.49239 9.62665 15.7056 10 -0 9.98215 3.42382 4.96948 9.75698 5.13411 -59.1087 10 -0 4.97836 6.33315 10 -0 10 -0 10 -0 0.000270694 -74.2944 0.000993587 173.508 0.000139988 -83.6668 0.000270694 105.706 0.000993587 173.508 0.00858143 -149.109 0.000998215 -176.576 0.000508178 173.796
5670 9.93564 -6.50376 9.6279 15.6792 10 -0 9.98221 3.4178 4.96959 9.73981 5.12744 -59.1532 10 -0 4.97844 6.32201 10 -0 10 -0 10 -0 0.000270252 -74.3208 0.000993564 173.496 0.000139743 -83.678 0.000270252 105.679 0.000993564 173.496 0.00858542 -149.153 0.000998221 -176.582 0.000508149 173.807
5680 9.93542 -6.51513 9.62913 15.653 10 -0 9.98228 3.41179 4.96969 9.72271 5.12078 -59.1976 10 -0 4.97852 6.31091 10 -0 10 -0 10 -0 0.000269811 -74.347 0.000993542 173.485 0.000139499 -83.6891 0.000269811 105.653 0.000993542 173.485 0.00858939 -149.198 0.000998228 -176.588 0.000508121 173.817
5690 9.93519 -6.52651 9.63037 15.6268 10 -0 9.98234 3.40581 4.9698 9.70566 5.11414 -59.242 10 -0 4.97859 6.29985 10 -0 10 -0 10 -0 0.000269371 -74.3732 0.000993519 173.473 0.000139256 -83.7001 0.000269371 105.627 0.000993519 173.473 0.00859335 -149.242 0.000998234 -176.594 0.000508093 173.828
5700 9.93497 -6.53788 9.63159 15.6008 10 -0 9.9824 3.39985 4.9699 9.68868 5.10751 -59.2862 10 -0 4.97867 6.28883 10 -0 10 -0 10 -0 0.000268932 -74.3992 0.000993497 173.462 0.000139014 -83.7112 0.000268932 105.601 0.000993497 173.462 0.00859729 -149.286 0.00099824 -176.6 0.000508065 173.838
5710 9.93474 -6.54925 9.63281 15.5748 10 -0 9.98246 3.39391 4.97001 9.67176 5.10089 -59.3302 10 -0 4.97874 6.27784 10 -0 10 -0 10 -0 0.000268495 -74.4252 0.000993474 173.451 0.000138773 -83.7222 0.000268495 105.575 0.000993474 173.451 0.00860122 -149.33 0.000998246 -176.606 0.000508037 173.848
5720 9.93452 -6.56062 9.63402 15.5488 10 -0 9.98252 3.38799 4.97011 9.65489 5.09429 -59.3742 10 -0 4.97882 6.2669 10 -0 10 -0 10 -0 0.00026806 -74.4512 0.000993452 173.439 0.000138532 -83.7331 0.00026806 105.549 0.000993452 173.439 0.00860513 -149.374 0.000998252 -176.612 0.000508009 173.859
5730 9.93429 -6.57199 9.63523 15.523 10 -0 9.98258 3.38209 4.97022 9.63808 5.0877 -59.4181 10 -0 4.97889 6.25599 10 -0 10 -0 10 -0 0.000267626 -74.477 0.000993429 173.428 0.000138292 -83.744 0.000267626 105.523 0.000993429 173.428 0.00860902 -149.418 0.000998258 -176.618 0.000507982 173.869
5740 9.93406 -6.58335 9.63643 15.4973 10 -0 9.98264 3.37621 4.97032 9.62133 5.08113 -59.4618 10 -0 4.97896 6.24512 10 -0 10 -0 10 -0 0.000267193 -74.5027 0.000993406 173.417 0.000138053 -83.7549 0.000267193 105.497 0.000993406 173.417 0.00861291 -149.462 0.000998264 -176.624 0.000507954 173.879
5750 9.93383 -6.59472 9.63763 15.4716 10 -0 9.9827 3.37036 4.97042 9.60464 5.07457 -59.5054 10 -0 4.97904 6.23429 10 -0 10 -0 10 -0 0.000266761 -74.5284 0.000993383 173.405 0.000137815 -83.7657 0.000266761 105.472 0.000993383 173.405 0.00861677 -149.505 0.00099827 -176.63 0.000507927 173.889
5760 9.93361 -6.60609 9.63882 15.446 10 -0 9.98276 3.36452 4.97053 9.58801 5.06802 -59.5489 10 -0 4.97911 6.22349 10 -0 10 -0 10 -0 0.000266331 -74.554 0.000993361 173.394 0.000137578 -83.7765 0.000266331 105.446 0.000993361 173.394 0.00862062 -149.549 0.000998276 -176.635 0.0005079 173.899
5770 9.93338 -6.61746 9.64 15.4205 10 -0 9.98282 3.3587 4.97063 9.57143 5.06149 -59.5923 10 -0 4.97918 6.21273 10 -0 10 -0 10 -0 0.000265902 -74.5795 0.000993338 173.383 0.000137342 -83.7873 0.000265902 105.421 0.000993338 173.383 0.00862446 -149.592 0.000998282 -176.641 0.000507873 173.91
5780 9.93315 -6.62882 9.64118 15.3951 10 -0 9.98288 3.3529 4.97073 9.55492 5.05497 -59.6356 10 -0 4.97925 6.20201 10 -0 10 -0 10 -0 0.000265474 -74.6049 0.000993315 173.371 0.000137106 -83.798 0.000265474 105.395 0.000993315 173.371 0.00862828 -149.636 0.000998288 -176.647 0.000507846 173.92
5790 9.93292 -6.64019 9.64235 15.3698 10 -0 9.98294 3.34712 4.97083 9.53845 5.04847 -59.6788 10 -0 4.97932 6.19133 10 -0 10 -0 10 -0 0.000265048 -74.6302 0.000993292 173.36 0.000136871 -83.8087 0.000265048 105.37 0.000993292 173.36 0.00863209 -149.679 0.000998294 -176.653 0.000507819 173.93
5800 9.93269 -6.65156 9.64352 15.3446 10 -0 9.983 3.34137 4.97093 9.52205 5.04198 -59.7219 10 -0 4.97939 6.18068 10 -0 10 -0 10 -0 0.000264623 -74.6554 0.000993269 173.348 0.000136637 -83.8193 0.000264623 105.345 0.000993269 173.348 0.00863588 -149.722 0.0009983 -176.659 0.000507793 173.94
5810 9.93246 -6.66292 9.64468 15.3194 10 -0 9.98306 3.33563 4.97103 9.5057 5.0355 -59.7648 10 -0 4.97947 6.17007 10 -0 10 -0 10 -0 0.000264199 -74.6806 0.000993246 173.337 0.000136404 -83.8299 0.000264199 105.319 0.000993246 173.337 0.00863966 -149.765 0.000998306 -176.664 0.000507766 173.95
